hotel,city,url,price,rating,stars,price_range,lowest_price,highest_price
OYO 525 MRT Phetkasem 48 Place,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d20108080-Reviews-OYO_525_MRT_Phetkasem_48_Place-Bangkok.html,Как добраться,"5,0","2,0",1 003 руб - 1 459 руб,1 003 руб,1 459 руб
The Grand Palace Hostel,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d10030214-Reviews-The_Grand_Palace_Hostel-Bangkok.html,Как добраться,"3,5",,2 553 руб - 2 553 руб,2 553 руб,2 553 руб
Foresttel Bkk - Hostel,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d16866011-Reviews-Foresttel_Bkk_Hostel-Bangkok.html,Как добраться,"4,0","2,0",1 368 руб - 2 006 руб,1 368 руб,2 006 руб
Meesook Residence,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d19459657-Reviews-Meesook_Residence-Bangkok.html,Как добраться,"5,0","3,0",1 277 руб - 1 733 руб,1 277 руб,1 733 руб
Sudyod Resort Apartment,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d13798138-Reviews-Sudyod_Resort_Apartment-Bangkok.html,Как добраться,,"3,0",1 550 руб - 2 280 руб,1 550 руб,2 280 руб
Ratch 66,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d15518131-Reviews-Ratch_66-Bangkok.html,Как добраться,"4,0","3,0",1 185 руб - 1 459 руб,1 185 руб,1 459 руб
The Bangkok Cha Cha Suite,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d10196400-Reviews-The_Bangkok_Cha_Cha_Suite-Bangkok.html,Как добраться,"4,0","3,0",1 094 руб - 1 641 руб,1 094 руб,1 641 руб
The Island Resort,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d23953577-Reviews-The_Island_Resort-Bangkok.html,Как добраться,"4,0",,2 006 руб - 2 280 руб,2 006 руб,2 280 руб
Baan Mi-Na,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d6828474-Reviews-Baan_Mi_Na-Bangkok.html,Как добраться,"3,5","2,0",1 641 руб - 2 189 руб,1 641 руб,2 189 руб
Кинг Парк Авеню Отель,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d634941-Reviews-King_Park_Avenue_Hotel-Bangkok.html,Как добраться,"3,0","3,0",2 645 руб - 3 009 руб,2 645 руб,3 009 руб
PN Home Service,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d11847552-Reviews-PN_Home_Service-Bangkok.html,Как добраться,"4,0","3,0",1 824 руб - 2 371 руб,1 824 руб,2 371 руб
Фортуна Отель,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d1187881-Reviews-Fortuna_Hotel-Bangkok.html,Как добраться,"3,0","3,0",2 918 руб - 4 012 руб,2 918 руб,4 012 руб
Homitel Bangkok,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d23137577-Reviews-Homitel_Bangkok-Bangkok.html,Как добраться,"4,0",,2 736 руб - 3 283 руб,2 736 руб,3 283 руб
